estrutura time amostra
LSM 538339 1000
LSM 317430 1000
LSM 14317 1000
LSM 13968 1000
LSM 18787 1000
LSM 17251 1000
LSM 21022 1000
LSM 15924 1000
LSM 20393 1000
LSM 111118 1000
LSM 17670 1000
LSM 16343 1000
LSM 20394 1000
LSM 19626 1000
LSM 19974 1000
LSM 17531 1000
LSM 16134 1000
LSM 19974 1000
LSM 20533 1000
LSM 19695 1000
LSM 20952 1000
LSM 17740 1000
LSM 17600 1000
LSM 20882 1000
LSM 16343 1000
LSM 18718 1000
LSM 17111 1000
LSM 15156 1000
LSM 16623 1000
LSM 21651 1000
LSM 18578 1000
LSM 23327 1000
LSM 19975 1000
LSM 20883 1000
LSM 20394 1000
LSM 17042 1000
LSM 18019 1000
LSM 17880 1000
LSM 16133 1000
LSM 20673 1000
LSM 20533 1000
LSM 22908 1000
LSM 16692 1000
LSM 20883 1000
LSM 17181 1000
LSM 24375 1000
LSM 18089 1000
LSM 17600 1000
LSM 15645 1000
LSM 15714 1000
LSM 19416 1000
LSM 18508 1000
LSM 22000 1000
LSM 23257 1000
LSM 20603 1000
LSM 19485 1000
LSM 22769 1000
LSM 20812 1000
LSM 23677 1000
LSM 69073 1000
LSM 19136 1000
LSM 21162 1000
LSM 25632 1000
LSM 20114 1000
LSM 16692 1000
LSM 23397 1000
LSM 19137 1000
LSM 18298 1000
LSM 17950 1000
LSM 16762 1000
LSM 15575 1000
LSM 17740 1000
LSM 22489 1000
LSM 16832 1000
LSM 21930 1000
LSM 18927 1000
LSM 14736 1000
LSM 14318 1000
LSM 18019 1000
LSM 17251 1000
LSM 14946 1000
LSM 21930 1000
LSM 18997 1000
LSM 20533 1000
LSM 16762 1000
LSM 20883 1000
LSM 18788 1000
LSM 22489 1000
LSM 20044 1000
LSM 19136 1000
LSM 19905 1000
LSM 17600 1000
LSM 19136 1000
LSM 27936 1000
LSM 19765 1000
LSM 22140 1000
LSM 21092 1000
LSM 18299 1000
LSM 16343 1000
LSM 23047 1000
LSM 22489 1000
LSM 31499 1000
LSM 19625 1000
LSM 23397 1000
LSM 19206 1000
LSM 19974 1000
LSM 20045 1000
LSM 22420 1000
LSM 17950 1000
LSM 22000 1000
LSM 21023 1000
LSM 19625 1000
LSM 23397 1000
LSM 20114 1000
LSM 17321 1000
LSM 21511 1000
LSM 17739 1000
LSM 20394 1000
LSM 21930 1000
LSM 25213 1000
LSM 18787 1000
LSM 17949 1000
LSM 19905 1000
LSM 21512 1000
LSM 24235 1000
LSM 20883 1000
