estrutura time amostra
LSM 2870718 1000
LSM 635912 1000
LSM 28077 1000
LSM 17530 1000
LSM 21511 1000
LSM 17181 1000
LSM 17251 1000
LSM 18648 1000
LSM 34362 1000
LSM 15016 1000
LSM 40089 1000
LSM 20744 1000
LSM 16273 1000
LSM 16762 1000
LSM 17740 1000
LSM 16552 1000
LSM 15225 1000
LSM 16622 1000
LSM 17251 1000
LSM 24375 1000
LSM 18368 1000
LSM 21930 1000
LSM 22768 1000
LSM 19975 1000
LSM 17740 1000
LSM 43861 1000
LSM 17460 1000
LSM 20115 1000
LSM 24235 1000
LSM 17601 1000
LSM 17041 1000
LSM 37296 1000
LSM 58528 1000
LSM 19555 1000
LSM 18019 1000
LSM 55315 1000
LSM 18717 1000
LSM 19206 1000
LSM 19905 1000
LSM 22420 1000
LSM 35130 1000
LSM 16762 1000
LSM 38134 1000
LSM 15854 1000
LSM 20813 1000
LSM 21092 1000
LSM 16063 1000
LSM 16204 1000
LSM 16274 1000
LSM 17111 1000
LSM 16693 1000
LSM 23397 1000
LSM 16762 1000
LSM 13759 1000
LSM 34223 1000
LSM 31987 1000
LSM 17182 1000
LSM 21092 1000
LSM 15225 1000
LSM 16273 1000
LSM 15156 1000
LSM 16204 1000
LSM 18508 1000
LSM 18578 1000
LSM 13200 1000
LSM 26749 1000
LSM 15365 1000
LSM 17042 1000
LSM 11943 1000
LSM 19067 1000
LSM 12990 1000
LSM 12292 1000
LSM 17111 1000
LSM 18578 1000
LSM 25352 1000
LSM 14667 1000
LSM 19137 1000
LSM 23397 1000
LSM 15435 1000
LSM 22559 1000
LSM 16762 1000
LSM 16762 1000
LSM 13619 1000
LSM 22978 1000
LSM 17740 1000
LSM 19277 1000
LSM 16203 1000
LSM 18089 1000
LSM 14178 1000
LSM 31010 1000
LSM 16692 1000
LSM 14597 1000
LSM 13479 1000
LSM 17111 1000
LSM 16273 1000
LSM 16133 1000
LSM 39949 1000
LSM 26679 1000
LSM 16134 1000
LSM 17810 1000
LSM 35549 1000
LSM 15156 1000
LSM 13969 1000
LSM 10197 1000
LSM 10896 1000
LSM 18788 1000
LSM 12432 1000
LSM 12991 1000
LSM 10546 1000
LSM 16133 1000
LSM 16273 1000
LSM 20953 1000
LSM 22489 1000
LSM 15156 1000
LSM 19625 1000
LSM 17530 1000
LSM 13759 1000
LSM 33385 1000
LSM 44420 1000
LSM 16623 1000
LSM 19137 1000
LSM 18368 1000
LSM 36178 1000
LSM 18019 1000
LSM 30451 1000
LSM 19137 1000
LSM 15715 1000
LSM 246961 1000
LSM 22978 1000
LSM 15785 1000
LSM 13480 1000
LSM 14666 1000
LSM 13898 1000
LSM 15785 1000
LSM 13060 1000
LSM 34782 1000
LSM 13759 1000
LSM 19346 1000
LSM 13828 1000
LSM 14876 1000
LSM 10477 1000
LSM 20114 1000
LSM 10895 1000
LSM 12642 1000
LSM 13340 1000
LSM 14737 1000
LSM 24794 1000
LSM 12851 1000
LSM 13340 1000
LSM 24654 1000
LSM 20114 1000
LSM 11873 1000
LSM 12991 1000
LSM 10406 1000
LSM 12362 1000
LSM 11454 1000
LSM 12082 1000
LSM 12851 1000
LSM 17042 1000
LSM 16692 1000
LSM 18578 1000
LSM 15016 1000
LSM 8940 1000
LSM 21022 1000
LSM 14248 1000
LSM 11524 1000
LSM 12920 1000
LSM 14108 1000
LSM 14388 1000
LSM 16064 1000
LSM 15226 1000
LSM 10965 1000
LSM 11105 1000
LSM 22839 1000
LSM 13479 1000
LSM 15645 1000
LSM 12921 1000
LSM 10616 1000
LSM 12781 1000
LSM 11174 1000
LSM 11804 1000
LSM 12921 1000
LSM 11524 1000
LSM 10476 1000
LSM 11244 1000
LSM 26470 1000
LSM 12501 1000
LSM 13828 1000
LSM 15714 1000
LSM 13969 1000
LSM 12921 1000
LSM 13480 1000
LSM 12432 1000
LSM 12292 1000
LSM 11454 1000
LSM 19626 1000
LSM 12851 1000
LSM 10406 1000
LSM 11104 1000
LSM 12293 1000
LSM 12851 1000
LSM 11035 1000
LSM 9988 1000
LSM 10477 1000
LSM 10057 1000
LSM 13969 1000
LSM 11804 1000
LSM 10476 1000
LSM 10546 1000
LSM 14806 1000
LSM 14667 1000
LSM 9918 1000
LSM 17181 1000
LSM 14178 1000
LSM 13759 1000
LSM 13968 1000
LSM 13899 1000
LSM 12292 1000
LSM 32966 1000
LSM 10895 1000
LSM 11943 1000
LSM 20394 1000
LSM 13969 1000
LSM 18647 1000
LSM 13270 1000
LSM 14876 1000
LSM 11873 1000
LSM 8521 1000
LSM 17251 1000
LSM 13270 1000
LSM 15225 1000
LSM 13759 1000
LSM 11315 1000
LSM 12362 1000
LSM 22489 1000
LSM 15226 1000
LSM 14387 1000
LSM 16133 1000
LSM 16203 1000
LSM 13829 1000
LSM 17112 1000
LSM 13759 1000
LSM 11035 1000
LSM 12502 1000
LSM 22629 1000
LSM 12851 1000
LSM 17111 1000
LSM 27518 1000
LSM 14527 1000
LSM 14807 1000
LSM 10476 1000
LSM 13759 1000
LSM 18159 1000
LSM 12851 1000
LSM 18159 1000
LSM 56781 1000
LSM 15365 1000
LSM 11314 1000
LSM 14248 1000
LSM 32895 1000
LSM 15365 1000
LSM 13689 1000
LSM 11873 1000
LSM 14318 1000
LSM 13969 1000
LSM 12013 1000
LSM 10546 1000
LSM 13829 1000
LSM 13130 1000
LSM 15365 1000
LSM 12013 1000
LSM 15226 1000
LSM 13899 1000
LSM 13969 1000
LSM 18509 1000
LSM 11035 1000
LSM 13969 1000
LSM 12921 1000
LSM 13829 1000
LSM 9987 1000
LSM 18229 1000
LSM 12781 1000
LSM 10337 1000
LSM 16762 1000
LSM 8660 1000
LSM 13828 1000
LSM 11873 1000
LSM 15644 1000
LSM 9848 1000
LSM 11245 1000
LSM 11804 1000
LSM 12362 1000
LSM 10407 1000
LSM 9010 1000
LSM 14876 1000
LSM 9428 1000
LSM 9080 1000
LSM 11593 1000
LSM 37715 1000
LSM 12083 1000
LSM 11315 1000
LSM 11803 1000
LSM 10895 1000
LSM 11454 1000
LSM 12572 1000
LSM 10616 1000
LSM 11035 1000
LSM 25213 1000
LSM 9638 1000
LSM 7962 1000
LSM 10895 1000
LSM 9988 1000
LSM 11524 1000
LSM 7753 1000
LSM 7613 1000
LSM 8102 1000
LSM 8521 1000
LSM 10756 1000
LSM 7543 1000
LSM 15644 1000
LSM 8172 1000
LSM 12013 1000
LSM 10616 1000
LSM 10546 1000
LSM 20813 1000
LSM 10965 1000
LSM 16204 1000
LSM 13200 1000
LSM 10756 1000
LSM 12293 1000
LSM 8590 1000
LSM 10546 1000
LSM 20604 1000
LSM 13270 1000
LSM 8451 1000
LSM 11873 1000
LSM 11314 1000
LSM 10407 1000
LSM 11035 1000
LSM 9149 1000
LSM 9639 1000
LSM 8591 1000
LSM 9988 1000
LSM 10127 1000
LSM 16273 1000
LSM 12711 1000
LSM 11384 1000
LSM 12990 1000
LSM 10197 1000
LSM 13968 1000
LSM 16133 1000
LSM 11245 1000
LSM 13619 1000
LSM 13340 1000
LSM 17112 1000
LSM 10546 1000
